ontology_side,entity_type,entity_iri,label
source,object_property,https://example.org/mod-sbd#addressesSecurityProperty,addresses security property
source,object_property,https://example.org/mod-sbd#agreedBy,agreed by
source,object_property,https://example.org/mod-sbd#appliesDuring,applies during
source,object_property,https://example.org/mod-sbd#appliesTo,applies to
source,object_property,https://example.org/mod-sbd#assesses,assesses
source,object_property,https://example.org/mod-sbd#augmentedBy,augmented by
source,object_property,https://example.org/mod-sbd#basedOn,based on
source,object_property,https://example.org/mod-sbd#belongsToPrinciple,belongs to principle
source,object_property,https://example.org/mod-sbd#communicatesTo,communicates to
source,object_property,https://example.org/mod-sbd#considers,considers
source,object_property,https://example.org/mod-sbd#contributesTo,contributes to
source,object_property,https://example.org/mod-sbd#contributesToRisk,contributes to risk
source,object_property,https://example.org/mod-sbd#criterionBelongsToPrinciple,criterion belongs to principle
source,object_property,https://example.org/mod-sbd#definedBy,defined by
source,object_property,https://example.org/mod-sbd#derivedFrom,derived from
source,object_property,https://example.org/mod-sbd#escalatesTo,escalates to
source,object_property,https://example.org/mod-sbd#expressesSecurityPractice,expresses security practice
source,object_property,https://example.org/mod-sbd#feedsBackInto,feeds back into
source,object_property,https://example.org/mod-sbd#flowsDownTo,flows down to
source,object_property,https://example.org/mod-sbd#hasAtomicClause,has atomic clause
source,object_property,https://example.org/mod-sbd#hasEvidenceExpectation,has evidence expectation
source,object_property,https://example.org/mod-sbd#hasNeedOrExpectation,has need or expectation
source,object_property,https://example.org/mod-sbd#hasResponsibleRole,has responsible role
source,object_property,https://example.org/mod-sbd#hasRole,has role
source,object_property,https://example.org/mod-sbd#hasSourceCriterion,has source criterion
source,object_property,https://example.org/mod-sbd#impacts,impacts
source,object_property,https://example.org/mod-sbd#includedIn,included in
source,object_property,https://example.org/mod-sbd#informedBy,informed by
source,object_property,https://example.org/mod-sbd#integratesWith,integrates with
source,object_property,https://example.org/mod-sbd#involvesOrganisationalConcept,involves organisational concept
source,object_property,https://example.org/mod-sbd#maintains,maintains
source,object_property,https://example.org/mod-sbd#manages,manages
source,object_property,https://example.org/mod-sbd#mitigates,mitigates
source,object_property,https://example.org/mod-sbd#monitors,monitors
source,object_property,https://example.org/mod-sbd#partOfRequirement,part of requirement
source,object_property,https://example.org/mod-sbd#performedBy,performed by
source,object_property,https://example.org/mod-sbd#performs,performs
source,object_property,https://example.org/mod-sbd#prevents,prevents
source,object_property,https://example.org/mod-sbd#produces,produces
source,object_property,https://example.org/mod-sbd#protects,protects
source,object_property,https://example.org/mod-sbd#providesUnderstandingOf,provides understanding of
source,object_property,https://example.org/mod-sbd#records,records
source,object_property,https://example.org/mod-sbd#reportsTo,reports to
source,object_property,https://example.org/mod-sbd#requires,requires
source,object_property,https://example.org/mod-sbd#requiresActivity,requires activity
source,object_property,https://example.org/mod-sbd#requiresSecurityControl,requires security control
source,object_property,https://example.org/mod-sbd#requiresSecurityPractice,requires security practice
source,object_property,https://example.org/mod-sbd#reviewedBy,reviewed by
source,object_property,https://example.org/mod-sbd#reviews,reviews
source,object_property,https://example.org/mod-sbd#roleResponsibleFor,role responsible for
