ontology_side,ontology,entity_type,entity_iri,label
source,SbD,class,https://example.org/mod-sbd#Resource,Resource
source,SbD,class,https://example.org/mod-sbd#ResourceGap,Resource Gap
source,SbD,class,https://example.org/mod-sbd#ResponseTeam,Response Team
source,SbD,class,https://example.org/mod-sbd#Review,Review
source,SbD,class,https://example.org/mod-sbd#ReviewIncidents,Review Incidents
source,SbD,class,https://example.org/mod-sbd#ReviewRecord,Review Record
source,SbD,class,https://example.org/mod-sbd#ReviewTestArchitecture,Review or Test Architecture
source,SbD,class,https://example.org/mod-sbd#RiskAppetite,Risk Appetite
source,SbD,class,https://example.org/mod-sbd#RiskAppetiteStatement,Risk Appetite Statement
source,SbD,class,https://example.org/mod-sbd#RiskBasedSecurity,Risk-Based Security
source,SbD,class,https://example.org/mod-sbd#RiskCommunication,Risk Communication
source,SbD,class,https://example.org/mod-sbd#RiskConcept,Risk Concept
source,SbD,class,https://example.org/mod-sbd#RiskContributor,Risk Contributor
source,SbD,class,https://example.org/mod-sbd#RiskDecisionInformation,Risk Decision Information
source,SbD,class,https://example.org/mod-sbd#RiskGovernanceSecurityPractice,Risk and Governance Security Practice
source,SbD,class,https://example.org/mod-sbd#RiskManagementActivity,Risk Management Activity
source,SbD,class,https://example.org/mod-sbd#RiskManagementFramework,Risk Management Framework
source,SbD,class,https://example.org/mod-sbd#RiskOwnerRole,Risk Owner
source,SbD,class,https://example.org/mod-sbd#RiskResponse,Risk Response
source,SbD,class,https://example.org/mod-sbd#RiskTreatment,Risk Treatment
source,SbD,class,https://example.org/mod-sbd#Role,Role
source,SbD,class,https://example.org/mod-sbd#RoleRedundancy,Role Redundancy
source,SbD,class,https://example.org/mod-sbd#SQEPPersonnel,Suitably Qualified and Experienced Personnel (SQEP)
source,SbD,class,https://example.org/mod-sbd#SbDCriterion,SbD Criterion
source,SbD,class,https://example.org/mod-sbd#SbDPrinciple,SbD Principle
source,SbD,class,https://example.org/mod-sbd#SbDRequirement,SbD Requirement
source,SbD,class,https://example.org/mod-sbd#SecureAcquisition,Secure Acquisition
source,SbD,class,https://example.org/mod-sbd#SecureByDesign,Secure by Design
source,SbD,class,https://example.org/mod-sbd#SecureDevelopment,Secure Development
source,SbD,class,https://example.org/mod-sbd#SecureDisposal,Secure Disposal
source,SbD,class,https://example.org/mod-sbd#SecurityArtefact,Security Artefact
source,SbD,class,https://example.org/mod-sbd#SecurityAuthorisationDecision,Security Authorisation Decision
source,SbD,class,https://example.org/mod-sbd#SecurityAwareness,Security Awareness
source,SbD,class,https://example.org/mod-sbd#SecurityAwarenessMeasurement,Security Awareness Measurement
source,SbD,class,https://example.org/mod-sbd#SecurityControl,Security Control
source,SbD,class,https://example.org/mod-sbd#SecurityEngineeringActivity,Security Engineering Activity
source,SbD,class,https://example.org/mod-sbd#SecurityGovernance,Security Governance
source,SbD,class,https://example.org/mod-sbd#SecurityManagementConcept,Security Management Concept
source,SbD,class,https://example.org/mod-sbd#SecurityMechanism,Security Mechanism
source,SbD,class,https://example.org/mod-sbd#SecurityPlan,Security Plan
source,SbD,class,https://example.org/mod-sbd#SecurityPrincipleOrPractice,Security Principle or Practice
source,SbD,class,https://example.org/mod-sbd#SecurityProperty,Security Property
source,SbD,class,https://example.org/mod-sbd#SecurityReporting,Security Reporting
source,SbD,class,https://example.org/mod-sbd#SecurityRequirement,Security Requirement
source,SbD,class,https://example.org/mod-sbd#SecurityRequirementFlowDown,Security Requirement Flow-Down
source,SbD,class,https://example.org/mod-sbd#SecurityTestingAndVerification,Security Testing and Verification
source,SbD,class,https://example.org/mod-sbd#SecurityWorkingGroup,Security Working Group
source,SbD,class,https://example.org/mod-sbd#SelectSecurityControls,Select Security Controls
source,SbD,class,https://example.org/mod-sbd#SeniorManagementRole,Senior Management
source,SbD,class,https://example.org/mod-sbd#SeniorResponsibleOwnerRole,Senior Responsible Owner
source,SbD,class,https://example.org/mod-sbd#SinglePointOfFailure,Single Point of Failure
source,SbD,class,https://example.org/mod-sbd#SocialEngineering,Social Engineering
source,SbD,class,https://example.org/mod-sbd#SocioTechnicalRisk,Socio-Technical Risk
source,SbD,class,https://example.org/mod-sbd#SocioTechnicalSecurity,Socio-Technical Security
source,SbD,class,https://example.org/mod-sbd#SpecialistCyberResponderRole,Specialist Cyber Responder
source,SbD,class,https://example.org/mod-sbd#Specification,Specification
source,SbD,class,https://example.org/mod-sbd#StakeholderNeedOrExpectation,Stakeholder Need or Expectation
source,SbD,class,https://example.org/mod-sbd#StakeholderRole,Stakeholder Role
source,SbD,class,https://example.org/mod-sbd#StoredData,Stored Data
source,SbD,class,https://example.org/mod-sbd#SupplierOrganisation,Supplier Organisation
source,SbD,class,https://example.org/mod-sbd#SupplyChain,Supply Chain
source,SbD,class,https://example.org/mod-sbd#SupplyChainAssuranceEvidence,Supply Chain Assurance Evidence
source,SbD,class,https://example.org/mod-sbd#SupplyChainRiskManagement,Supply Chain Risk Management
source,SbD,class,https://example.org/mod-sbd#SupplyChainSecurityPractice,Supply-Chain Security Practice
source,SbD,class,https://example.org/mod-sbd#TechnologicalChangeRisk,Technological Change Risk
source,SbD,class,https://example.org/mod-sbd#Technology,Technology
source,SbD,class,https://example.org/mod-sbd#TestSecurityResilience,Test Security or Resilience
source,SbD,class,https://example.org/mod-sbd#TestingEvidence,Testing Evidence
source,SbD,class,https://example.org/mod-sbd#ThirdPartyOrganisation,Third Party
source,SbD,class,https://example.org/mod-sbd#Threat,Threat
source,SbD,class,https://example.org/mod-sbd#ThreatActorRole,Threat Actor
source,SbD,class,https://example.org/mod-sbd#ThreatAssessment,Threat Assessment
source,SbD,class,https://example.org/mod-sbd#ThreatAssumption,Threat Assumption
source,SbD,class,https://example.org/mod-sbd#ThreatConcept,Threat Concept
source,SbD,class,https://example.org/mod-sbd#ThreatInformedSecurity,Threat-Informed Security
source,SbD,class,https://example.org/mod-sbd#ThreatIntelligence,Threat Intelligence
source,SbD,class,https://example.org/mod-sbd#ThreatManagementActivity,Threat Assessment and Modelling Activity
source,SbD,class,https://example.org/mod-sbd#ThreatModelling,Threat Modelling
source,SbD,class,https://example.org/mod-sbd#ThroughLifeManagementPlan,Through-Life Management Plan
source,SbD,class,https://example.org/mod-sbd#Tier1Supplier,Tier 1 Supplier
source,SbD,class,https://example.org/mod-sbd#Tier2Supplier,Tier 2 Supplier
source,SbD,class,https://example.org/mod-sbd#Tier3Supplier,Tier 3 Supplier
source,SbD,class,https://example.org/mod-sbd#Traceability,Traceability
source,SbD,class,https://example.org/mod-sbd#TrainPersonnel,Train Personnel
source,SbD,class,https://example.org/mod-sbd#TrainingEvidence,Training Record or Evidence
source,SbD,class,https://example.org/mod-sbd#TransmissionPath,Transmission Path
source,SbD,class,https://example.org/mod-sbd#UnderstandContext,Understand Context
source,SbD,class,https://example.org/mod-sbd#Update,Update
source,SbD,class,https://example.org/mod-sbd#Upgrade,Upgrade
source,SbD,class,https://example.org/mod-sbd#Vulnerability,Vulnerability
source,SbD,class,https://example.org/mod-sbd#VulnerabilityManagement,Vulnerability Management
source,SbD,class,https://example.org/mod-sbd#VulnerabilityManagementActivity,Vulnerability Management Activity
target,SORA,class,https://example.org/ontology/sora#Accreditation,Accreditation
target,SORA,class,https://example.org/ontology/sora#ActivityType,ActivityType
target,SORA,class,https://example.org/ontology/sora#Actor,Actor
target,SORA,class,https://example.org/ontology/sora#ActorRole,ActorRole
target,SORA,class,https://example.org/ontology/sora#AdverseEnvironmentalCondition,AdverseEnvironmentalCondition
target,SORA,class,https://example.org/ontology/sora#AirworthinessDesignStandard,AirworthinessDesignStandard
target,SORA,class,https://example.org/ontology/sora#AnalyticalAtomicObligation,AnalyticalAtomicObligation
target,SORA,class,https://example.org/ontology/sora#AnalyticalRequirementElement,AnalyticalRequirementElement
target,SORA,class,https://example.org/ontology/sora#ApplicabilityReference,ApplicabilityReference
target,SORA,class,https://example.org/ontology/sora#AssessmentArtifact,AssessmentArtifact
target,SORA,class,https://example.org/ontology/sora#AssuranceArtifact,AssuranceArtifact
target,SORA,class,https://example.org/ontology/sora#AssuranceClaim,AssuranceClaim
target,SORA,class,https://example.org/ontology/sora#AssuranceStatement,AssuranceStatement
target,SORA,class,https://example.org/ontology/sora#AuditProgramme,AuditProgramme
target,SORA,class,https://example.org/ontology/sora#C2Link,C2Link
target,SORA,class,https://example.org/ontology/sora#C3Link,C3Link
target,SORA,class,https://example.org/ontology/sora#Certificate,Certificate
target,SORA,class,https://example.org/ontology/sora#Checklist,Checklist
target,SORA,class,https://example.org/ontology/sora#CommunicationDevice,CommunicationDevice
target,SORA,class,https://example.org/ontology/sora#CommunicationLink,CommunicationLink
target,SORA,class,https://example.org/ontology/sora#ComputerSystem,ComputerSystem
target,SORA,class,https://example.org/ontology/sora#ConceptOfOperations,ConceptOfOperations
target,SORA,class,https://example.org/ontology/sora#Configuration,Configuration
target,SORA,class,https://example.org/ontology/sora#ConformityStatus,ConformityStatus
target,SORA,class,https://example.org/ontology/sora#ControlStation,ControlStation
target,SORA,class,https://example.org/ontology/sora#Credential,Credential
target,SORA,class,https://example.org/ontology/sora#Criterion,Criterion
target,SORA,class,https://example.org/ontology/sora#CriterionType,CriterionType
target,SORA,class,https://example.org/ontology/sora#CyberRisk,CyberRisk
target,SORA,class,https://example.org/ontology/sora#CyberSafetyPolicy,CyberSafetyPolicy
target,SORA,class,https://example.org/ontology/sora#CybersecurityAccreditation,CybersecurityAccreditation
target,SORA,class,https://example.org/ontology/sora#Datalink,Datalink
target,SORA,class,https://example.org/ontology/sora#Declaration,Declaration
target,SORA,class,https://example.org/ontology/sora#DesignData,DesignData
target,SORA,class,https://example.org/ontology/sora#DesignInstallationAppraisal,DesignInstallationAppraisal
target,SORA,class,https://example.org/ontology/sora#Document,Document
target,SORA,class,https://example.org/ontology/sora#EmergencyResponsePlan,EmergencyResponsePlan
target,SORA,class,https://example.org/ontology/sora#EnvironmentalCondition,EnvironmentalCondition
target,SORA,class,https://example.org/ontology/sora#Equipment,Equipment
target,SORA,class,https://example.org/ontology/sora#EvidenceArtifact,EvidenceArtifact
target,SORA,class,https://example.org/ontology/sora#ExternalService,ExternalService
target,SORA,class,https://example.org/ontology/sora#ExternalSystem,ExternalSystem
target,SORA,class,https://example.org/ontology/sora#Failure,Failure
target,SORA,class,https://example.org/ontology/sora#FailureCondition,FailureCondition
target,SORA,class,https://example.org/ontology/sora#FailureFrequencyCategory,FailureFrequencyCategory
target,SORA,class,https://example.org/ontology/sora#FailureSeverityCategory,FailureSeverityCategory
target,SORA,class,https://example.org/ontology/sora#FatigueRiskManagementSystem,FatigueRiskManagementSystem
target,SORA,class,https://example.org/ontology/sora#Firmware,Firmware
target,SORA,class,https://example.org/ontology/sora#FlightEnvelope,FlightEnvelope
target,SORA,class,https://example.org/ontology/sora#FlightLog,FlightLog
target,SORA,class,https://example.org/ontology/sora#FlightManual,FlightManual
target,SORA,class,https://example.org/ontology/sora#FunctionalHazardAssessment,FunctionalHazardAssessment
target,SORA,class,https://example.org/ontology/sora#GNSSSensor,GNSSSensor
target,SORA,class,https://example.org/ontology/sora#Hardware,Hardware
target,SORA,class,https://example.org/ontology/sora#Hazard,Hazard
target,SORA,class,https://example.org/ontology/sora#HumanError,HumanError
target,SORA,class,https://example.org/ontology/sora#HumanMachineInterface,HumanMachineInterface
target,SORA,class,https://example.org/ontology/sora#ITSystem,ITSystem
target,SORA,class,https://example.org/ontology/sora#InformationArtifact,InformationArtifact
target,SORA,class,https://example.org/ontology/sora#Interface,Interface
target,SORA,class,https://example.org/ontology/sora#LifecycleContext,LifecycleContext
target,SORA,class,https://example.org/ontology/sora#Log,Log
target,SORA,class,https://example.org/ontology/sora#LogFile,LogFile
target,SORA,class,https://example.org/ontology/sora#MaintenanceComputer,MaintenanceComputer
target,SORA,class,https://example.org/ontology/sora#MaintenanceLog,MaintenanceLog
target,SORA,class,https://example.org/ontology/sora#MaintenanceProcedure,MaintenanceProcedure
target,SORA,class,https://example.org/ontology/sora#MaintenanceProcedureManual,MaintenanceProcedureManual
target,SORA,class,https://example.org/ontology/sora#MaintenanceProgramme,MaintenanceProgramme
target,SORA,class,https://example.org/ontology/sora#MaintenanceRecord,MaintenanceRecord
target,SORA,class,https://example.org/ontology/sora#ManagementSystem,ManagementSystem
target,SORA,class,https://example.org/ontology/sora#Manual,Manual
target,SORA,class,https://example.org/ontology/sora#Material,Material
target,SORA,class,https://example.org/ontology/sora#MeansOfCompliance,MeansOfCompliance
target,SORA,class,https://example.org/ontology/sora#Network,Network
target,SORA,class,https://example.org/ontology/sora#NonObligationRequirementElement,NonObligationRequirementElement
target,SORA,class,https://example.org/ontology/sora#NotApplicablePlaceholder,NotApplicablePlaceholder
target,SORA,class,https://example.org/ontology/sora#OSORobustnessAssignment,OSORobustnessAssignment
target,SORA,class,https://example.org/ontology/sora#OfficialCommitment,OfficialCommitment
target,SORA,class,https://example.org/ontology/sora#OperationalAuthorisation,OperationalAuthorisation
target,SORA,class,https://example.org/ontology/sora#OperationalCondition,OperationalCondition
target,SORA,class,https://example.org/ontology/sora#OperationalContextElement,OperationalContextElement
target,SORA,class,https://example.org/ontology/sora#OperationalProcedure,OperationalProcedure
target,SORA,class,https://example.org/ontology/sora#OperationalSafetyObjective,OperationalSafetyObjective
target,SORA,class,https://example.org/ontology/sora#OperationalStateType,OperationalStateType
target,SORA,class,https://example.org/ontology/sora#OperationalVolume,OperationalVolume
target,SORA,class,https://example.org/ontology/sora#OrganisationalArrangement,OrganisationalArrangement
target,SORA,class,https://example.org/ontology/sora#OrganisationalCulture,OrganisationalCulture
target,SORA,class,https://example.org/ontology/sora#Person,Person
target,SORA,class,https://example.org/ontology/sora#Plan,Plan
target,SORA,class,https://example.org/ontology/sora#Policy,Policy
target,SORA,class,https://example.org/ontology/sora#Procedure,Procedure
target,SORA,class,https://example.org/ontology/sora#QualificationCompetenceRecord,QualificationCompetenceRecord
target,SORA,class,https://example.org/ontology/sora#RFSpectrum,RFSpectrum
target,SORA,class,https://example.org/ontology/sora#Record,Record
target,SORA,class,https://example.org/ontology/sora#RemotePilotStation,RemotePilotStation
target,SORA,class,https://example.org/ontology/sora#RemovableMedia,RemovableMedia
target,SORA,class,https://example.org/ontology/sora#RequirementClassification,RequirementClassification
target,SORA,class,https://example.org/ontology/sora#RiskAndThreatConcept,RiskAndThreatConcept
target,SORA,class,https://example.org/ontology/sora#RiskManagementProgramme,RiskManagementProgramme
target,SORA,class,https://example.org/ontology/sora#RobustnessLevel,RobustnessLevel
target,SORA,class,https://example.org/ontology/sora#SAILLevel,SAILLevel
target,SORA,class,https://example.org/ontology/sora#SORAConcept,SORAConcept
target,SORA,class,https://example.org/ontology/sora#SORARequirement,SORARequirement
target,SORA,class,https://example.org/ontology/sora#SORARequirementElement,SORARequirementElement
target,SORA,class,https://example.org/ontology/sora#SafetyAssessment,SafetyAssessment
target,SORA,class,https://example.org/ontology/sora#SafetyCriticalData,SafetyCriticalData
target,SORA,class,https://example.org/ontology/sora#SafetyManagementSystem,SafetyManagementSystem
target,SORA,class,https://example.org/ontology/sora#SafetyObjective,SafetyObjective
target,SORA,class,https://example.org/ontology/sora#SafetyRisk,SafetyRisk
target,SORA,class,https://example.org/ontology/sora#SecurityAndSafetyConcept,SecurityAndSafetyConcept
target,SORA,class,https://example.org/ontology/sora#SecurityEventType,SecurityEventType
target,SORA,class,https://example.org/ontology/sora#SecurityFunction,SecurityFunction
target,SORA,class,https://example.org/ontology/sora#SecurityMechanism,SecurityMechanism
target,SORA,class,https://example.org/ontology/sora#SecurityPrincipleOrPractice,SecurityPrincipleOrPractice
